DATE,NYRGSP
1997-01-01,976939.6
1998-01-01,996663.2
1999-01-01,1048059.2
2000-01-01,1088004.8
2001-01-01,1112238.7
2002-01-01,1102140.1
2003-01-01,1104937.1
2004-01-01,1132504.2
2005-01-01,1171051.0
2006-01-01,1199903.8
2007-01-01,1202725.8
2008-01-01,1175470.9
2009-01-01,1223229.4
2010-01-01,1269486.5
2011-01-01,1269244.9
2012-01-01,1322447.9
2013-01-01,1319298.5
2014-01-01,1348203.5
2015-01-01,1369469.8
2016-01-01,1387644.6
2017-01-01,1414313.4
